Customer Name,Customer Email,Customer Phone,Address,City,State,Country,Product,Quantity Purchased,Total Purchase Value (USD),Purchase Date
Christopher Baker PhD,bobbycampbell@wilson.info,001-501-676-9618x82299,"10424 Schmidt Port, Catherineton, WA 51499",Susanton,Massachusetts,USA,T-Shirts,8,316.84,2024-08-24
Corey Dunn,zmoore@gmail.com,001-760-671-2314x874,"53339 Matthew Island, Floresfort, FL 49728",Garybury,New Mexico,USA,Backpacks,9,416.83,2024-11-16
Melissa Kirby,michaelchan@bullock-fisher.net,274.700.0192x835,"729 Rodriguez Walks Apt. 327, East Sandra, MT 49246",North Frederickview,Iowa,USA,T-Shirts,7,341.88,2024-08-02
Bradley Patton,kevin99@gilbert.info,+1-498-444-5104x167,"133 Elizabeth Loop Apt. 923, South Paul, OK 14392",North Randallhaven,Mississippi,USA,Sneakers,6,107.99,2024-05-13
Meghan Zhang,kellyjohnson@hotmail.com,+1-167-440-3996,"66544 Matthew Run Apt. 318, East Jessica, GA 62003",New Matthew,Pennsylvania,USA,Hoodies,4,139.97,2024-04-19
Cory Dominguez,omullins@gmail.com,+1-875-805-3538,"9967 Garcia Springs, Martinezmouth, PA 71551",East Amy,Wisconsin,USA,Sneakers,8,411.5,2024-05-02
Patricia Adams,jthomas@gmail.com,001-848-803-9509x1562,"78771 Oneal Road Apt. 775, Austinville, SC 31227",Mahoneyview,Louisiana,USA,Sneakers,3,452.77,2024-09-12
Eric Anderson,jphillips@hotmail.com,+1-234-661-5499x3194,"297 Natasha Harbor Apt. 962, Jessebury, ME 29511",New Ashley,Wyoming,USA,Backpacks,10,363.39,2024-12-22
Deborah Anderson,theresa93@johnson-gilbert.org,020.421.6801x845,"48351 Walker View, Lindseyfurt, IN 14113",Sandraport,Iowa,USA,Backpacks,7,499.21,2025-01-14
Lisa Bryan,michael91@allen-brooks.com,001-596-667-0601,"75877 Mark Spring Suite 669, Port Kenneth, IN 30920",Andersonfurt,Wyoming,USA,Backpacks,2,55.18,2024-12-09
Bradley Carroll,bramirez@walsh.info,001-382-425-2701x7699,"83852 Howard Overpass, Port Debbieview, MN 52388",Port Ann,New Mexico,USA,Hoodies,7,475.27,2024-05-22
Jamie Mercado,vangbarbara@lowe.biz,637-668-3554x523,"4830 Audrey Divide Suite 469, West Josephport, WV 57625",South Robinmouth,Arizona,USA,T-Shirts,7,229.98,2025-01-17
Donald Smith,robert37@hotmail.com,001-083-038-9321x864,"668 Kyle Islands Apt. 754, South Amy, UT 55704",Catherineside,West Virginia,USA,Hoodies,10,29.24,2024-10-20
Kelly White,william96@gmail.com,(644)650-5907x90456,"27133 Laura Unions Suite 015, Ashleyshire, PA 61200",Marcuston,Delaware,USA,Backpacks,8,196.26,2025-02-04
Stephen Rodriguez,laura84@gmail.com,001-671-055-1042x102,"948 Cynthia Pike, Port Brettville, TX 95413",Gatesview,West Virginia,USA,Sneakers,6,464.09,2024-05-17
Tonya Kramer,janice74@yahoo.com,708-468-6501x14849,"7692 Torres Crossing Apt. 355, Tracyborough, TX 26738",North Eric,Rhode Island,USA,T-Shirts,6,64.24,2025-01-02
Michael Jones PhD,emily61@hotmail.com,001-702-606-1898x852,"USNS Wright, FPO AP 77431",East Andrea,Wyoming,USA,Hoodies,5,225.63,2024-07-22
Billy Meza,zbutler@murillo.org,7011398234,"29952 Frye Rapids Apt. 501, Youngtown, IA 87008",East Rick,North Dakota,USA,T-Shirts,6,48.93,2025-01-25
Elizabeth Jacobson,donald77@carson-smith.net,468-241-7169,"989 Lindsey Cape, Port Michael, AL 14993",West Linda,Vermont,USA,T-Shirts,4,401.85,2024-05-30
Mark Robinson,hallbrenda@brewer.org,111-818-0986x485,"42835 Price Station, Davischester, SC 19362",East Amandastad,Washington,USA,Hoodies,2,64.98,2025-02-14
Veronica Santiago,wmendoza@carr.com,322.509.7344x502,"683 Price Shores Apt. 391, Sydneymouth, OH 51037",Allisonville,Oregon,USA,Sneakers,7,401.46,2024-12-03
Christina Taylor,alexcruz@jackson-sosa.com,(270)452-8596x9542,"450 Compton Ports Suite 523, Jacobsfort, CO 26593",Mendezton,Alabama,USA,Sneakers,9,373.67,2024-05-15
Mr. Austin Roman MD,freemanjohn@schroeder.net,3277304822,"818 Anderson Stream Apt. 306, East Jessica, IA 28009",Tonyville,South Carolina,USA,Backpacks,7,127.62,2024-12-31
Trevor White,sfrost@hotmail.com,+1-682-073-3907x9023,"636 Jeanne Ramp, Deborahborough, DC 33543",Walkerborough,Georgia,USA,T-Shirts,4,78.15,2024-09-14
Joseph Phillips,blairisaiah@hotmail.com,(899)594-9582x92486,"22872 Michelle Knoll Suite 113, West Heather, IN 81853",Owenschester,Vermont,USA,Sneakers,5,54.02,2025-01-05
Anthony Brewer,lisa32@hotmail.com,2239672591,"123 Lawrence Vista Apt. 246, Floresstad, WY 29951",Charleschester,Oregon,USA,Backpacks,9,498.4,2025-01-27
Kelly Christensen,cynthia76@miller-haley.com,(489)567-1931,"90067 Diane Run Apt. 184, Andersonfort, ME 75791",Juliebury,North Dakota,USA,Sneakers,5,389.54,2024-09-02
Donna Graves,karen27@sanchez.com,214-811-8662,"62410 Burton Ridge, Amandabury, UT 11704",Hogantown,Washington,USA,Backpacks,7,201.87,2024-05-09
Victoria Wilkins,adamsanchez@perry.com,446.329.8476x168,"USNV Jones, FPO AE 18842",Baldwinfurt,Texas,USA,Hoodies,9,107.93,2024-06-27
Raven Ross,keith77@garcia-mcdaniel.com,2253209974,"Unit 8980 Box 1173, DPO AA 28513",Port Donald,Nebraska,USA,Backpacks,9,341.59,2024-04-08
Christian Torres,christopher29@gmail.com,4128304212,"82990 Tara Road, West Barbaraside, VA 72392",Davidshire,Florida,USA,T-Shirts,6,455.1,2024-04-18
Ian Farrell,meganvaughn@douglas.com,(768)368-4047,"566 Green Forges, Benjaminmouth, NM 10821",South Emilyfort,Oregon,USA,Sneakers,4,227.61,2025-01-14
Robyn Reyes,jacob80@jackson.com,599.171.1086,"4923 William Tunnel, Port Timothyfurt, ID 01860",New Brian,Wisconsin,USA,Hoodies,2,37.1,2024-08-06
Rita Green,ashley91@garcia-carrillo.com,(373)786-0395x625,"78848 Jason Cliff, Roachfurt, WY 18052",Lake Marissastad,New Hampshire,USA,Hoodies,2,497.48,2024-08-03
Brandon Anderson,johnsonangela@yahoo.com,0177116292,"28198 Amanda Mountains, Port Gloria, GA 88238",Yolandahaven,New York,USA,T-Shirts,7,201.4,2024-05-05
Donna Shaw,mark71@gmail.com,5084951560,"046 Allison Light, West Gavinside, MS 43308",Blakeville,Wisconsin,USA,Hoodies,5,232.36,2024-11-08
Veronica Morales,anthony11@hotmail.com,+1-440-478-8064x43325,"USCGC Miller, FPO AA 65166",Benjaminville,Idaho,USA,T-Shirts,7,215.31,2024-06-05
Richard Nguyen,craigmoore@greene.biz,+1-888-201-4271,"PSC 5139, Box 3504, APO AP 62003",East Juanview,Washington,USA,Backpacks,9,386.37,2025-01-09
Hannah Lane,kallen@bell.com,047-934-3560x3796,"7575 Emma Ferry, Lake Thomas, GA 19145",Davidton,Montana,USA,Backpacks,10,299.66,2024-06-11
Katherine Jensen,evanskent@sanders.info,(710)739-5371,"567 Kelly Station Apt. 992, East Sara, IL 55715",East David,Wisconsin,USA,Sneakers,3,497.35,2024-04-26
Paul Sanchez,william39@yahoo.com,(041)134-4041x60913,"964 Jonathan Radial Suite 241, Sloantown, CT 67347",Michaelside,Vermont,USA,T-Shirts,5,293.3,2024-07-31
Lori Clements,williamsbrian@lawrence-richardson.info,176-317-7039x3521,"4275 Miller Turnpike, Tranhaven, NM 19407",East Jody,Missouri,USA,Backpacks,6,451.4,2024-12-12
Rose Henderson,arellanojessica@west.info,496.480.9422x0347,"531 Norris Radial Suite 474, Williamsland, AZ 00823",Welchstad,Connecticut,USA,Backpacks,6,454.48,2024-10-03
Daniel Page,usilva@valenzuela.com,001-790-554-7176x26515,"1158 Zimmerman Fords, Meganton, NM 42873",South Jennifer,Hawaii,USA,Hoodies,3,356.53,2024-12-04
Melissa Smith,rachael60@bradshaw-chan.com,001-964-117-2050,"7740 Wolf Extension, Lake Jamiefort, CA 46696",Marthashire,Missouri,USA,Backpacks,10,124.98,2024-11-12
Brandi Sellers,tkidd@hotmail.com,(335)882-7194,"3587 Nicolas Harbor, New Johnborough, MD 54570",Crystalhaven,North Dakota,USA,T-Shirts,2,225.47,2024-05-07
Frances Beck,gshepherd@gmail.com,(888)545-6081x6887,"54407 Brown Centers Suite 814, East James, AK 65768",Mitchellview,Washington,USA,Sneakers,5,158.14,2024-06-21
Teresa Williams,erikacamacho@christensen.com,(585)885-7264x02912,"558 Smith Freeway, North Thomasborough, KS 39351",Kendrashire,Nebraska,USA,T-Shirts,9,283.69,2024-07-17
Kevin Mcintyre Jr.,susangreen@snyder.org,(325)167-2541,"Unit 0384 Box 7666, DPO AA 21746",Christensentown,Mississippi,USA,Hoodies,2,81.59,2024-09-02
Virginia Cooper,vjohnson@gmail.com,+1-403-979-0744x606,"USCGC Schwartz, FPO AE 41382",North Abigail,Indiana,USA,Hoodies,10,243.6,2024-09-22
Shawn Guzman,dbutler@yahoo.com,210-260-7320x230,"Unit 4688 Box 2160, DPO AE 52686",Murrayport,Washington,USA,T-Shirts,8,220.77,2024-04-16
Scott Flores,michaelmercado@castaneda-mendez.com,758-131-2536,"893 Harrison Mall Suite 599, Port Shawnport, AL 22559",North Tom,Idaho,USA,Sneakers,2,271.49,2024-12-09
Travis Zamora,fosterkaren@hotmail.com,365-419-7563x013,"989 Leslie Lake, Lopezberg, WV 52103",New Meghanhaven,Nebraska,USA,Sneakers,2,316.92,2024-02-29
Matthew Johnson,qchavez@hopkins-cox.biz,8320668190,"8112 Jeffrey Lights Apt. 002, Meganland, RI 57830",Smithhaven,Tennessee,USA,T-Shirts,8,159.81,2024-12-22
William Buchanan,njohnson@yahoo.com,8911609941,"75268 John Burg Apt. 662, East Rodneyville, ME 71719",New Lisa,Iowa,USA,T-Shirts,5,340.35,2024-09-19
David Alexander,jenny33@hotmail.com,254-888-4887x1044,"367 Ramirez Isle, Rangelhaven, NV 43398",Port Henryville,California,USA,Backpacks,7,216.31,2024-04-02
Christopher Baker,qperez@hotmail.com,001-161-094-0250x986,"134 Phelps Street, Myershaven, AK 10378",East Nancy,Maine,USA,Backpacks,4,424.93,2024-10-17
Heather Wade,uflores@patel.com,(322)667-4432x39597,"45705 Robertson Pike, Thomasside, ME 55802",New Jayland,North Dakota,USA,T-Shirts,3,59.16,2024-12-19
Mrs. Andrea Martin,tsanders@yahoo.com,009-151-9670x26477,"20091 Hill Roads, East Melissa, AR 78221",East Jesus,Washington,USA,T-Shirts,3,491.55,2025-01-06
Brianna Nguyen,mrodriguez@gmail.com,799.025.4245,"638 Michael Wall, Port Leah, MI 70906",Lake Shariport,North Carolina,USA,T-Shirts,1,399.09,2024-08-09
Kristen Blake,dgarcia@hotmail.com,+1-669-301-6474x30894,"USNS Mitchell, FPO AP 04422",Wrighthaven,Indiana,USA,Hoodies,2,491.73,2024-08-14
William Romero,jamiemacias@hotmail.com,001-257-752-4956x278,"705 Rios Valleys, Lake Gary, DC 48349",Lake Erin,Nebraska,USA,Backpacks,3,151.66,2024-02-22
Daniel Nunez,curtisjohnson@stevenson.com,001-630-058-6267x6330,"21857 Fletcher Pine, New Johnborough, AZ 52443",North Davidside,Ohio,USA,Backpacks,6,232.02,2024-04-04
